VOUCHER NUMBER,AMOUNT,CHECK DATE,DEPARTMENT NAME,CONTRACT NUMBER,VENDOR NAME,CASHED
PVRF611614932,36245.94,02/19/2018,DEPARTMENT OF WATER MANAGEMENT,19393,HERC RENTALS INC,True
PVRF477266753,25838.37,01/10/2019,DEPT OF AVIATION,40336,CATHOLIC BISHOP OF CHICAGO - ST. SABINA CHURCH,True
CVIP828487319,6092.47,05/26/2018,CHICAGO DEPARTMENT OF TRANSPORTATION,73156,"INGRAM LIBRARY SERVICES, INC",True
PVCI249740053,4477.68,12/22/2018,DEPARTMENT OF POLICE,28295,CHICAGO URBAN LEAGUE DEV CORP,True
PVRF801735355,7047.8,08/04/2018,DEPT OF GENERAL SERVICES,25098,PRIMO CENTER FOR WOMEN AND CHILDREN,True
PVCI863373518,5133.13,01/10/2018,DEPT OF AVIATION,73156,MSC INDUSTRIAL SUPPLY CO,True
PV27540402451,1113326.68,08/21/2018,CHICAGO DEPARTMENT OF TRANSPORTATION,47811,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",True
PVCI157493047,31356.6,08/16/2019,CHICAGO PUBLIC LIBRARY,DV,"UNISON CONSULTING, INC.",True
PVRF323791504,802274.25,05/21/2019,DEPARTMENT OF BUILDINGS,36561,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO,True
PV39534220236,32.36,09/13/2018,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,49308,PV HOLDING CORP,True
PVRF862988509,1714.81,03/07/2019,DEPT OF FLEET MGMT,91165,"OFFICE DEPOT, INC.",True
PV39425760506,6562.41,06/27/2018,DEPT OF FLEET MGMT,32528,"IT TAKES A VILLAGE CHILD CARE SERVICES, INC",True
PVCI731748409,15858.89,06/14/2018,DEPT OF GENERAL SERVICES,32528,ADVANCE AUTO CENTER,True
PVCI400036545,154757.84,03/24/2018,DEPT OF GENERAL SERVICES,91165,ALL CHICAGO MAKING HOMELESSNESS HISTORY,True
CVIP790987428,21523.69,11/19/2018,DEPT OF FAMILY AND SUPPORT SERVICES,28296,"BOARD OF TRUSTEES OF COMMUNITY COLLEGE DISTRICT #508, COUNTY OF COOK & STATE OF ILLINOIS",True
PVRF786381258,71.0,04/17/2018,DEPT OF BUSINESS & INFORMATION SERVICES,73156,HERTZ VEHICLES LLC,True
PV27240191636,91149.58,05/24/2018,DEPT OF STREETS & SANITATION,65749,"ERIE FAMILY HEALTH CENTER, INC.",True
PV39575909257,112740.41,11/04/2018,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,41708,G & V CONSTRUCTION CO INC,True
PV99042682477,458.39,03/31/2019,DEPARTMENT OF BUILDINGS,18085,"OFFICE DEPOT, INC.",True
CVIP734243441,3254.01,02/12/2019,DEPT OF FAMILY AND SUPPORT SERVICES,T26824,CATHOLIC BISHOP OF CHICAGO - ST. SABINA CHURCH,True
PV39387647828,16342.46,09/07/2018,DEPT OF FAMILY AND SUPPORT SERVICES,51904,HERC RENTALS INC,True
PV39197471015,119180.93,06/22/2019,DEPT OF FAMILY AND SUPPORT SERVICES,28295,ERIE NEIGHBORHOOD HOUSE,True
CVIP215826827,28.13,01/13/2019,DEPT OF FAMILY AND SUPPORT SERVICES,26901,RENTAL CAR FINANCE CORP,True
PVCI714034390,1076.15,11/20/2018,DEPARTMENT OF WATER MANAGEMENT,19847,RENTAL CAR FINANCE CORP,True
PV39603288432,21611.92,08/12/2019,DEPARTMENT OF HEALTH,46305,PRODUCTION DISTRIBUTION COMPANIES,True
PVRF895489009,347883.95,07/15/2019,DEPT OF FAMILY AND SUPPORT SERVICES,28820,KENNY CONSTRUCTION COMPANY,True
CVIP404341761,27450.38,04/17/2018,DEPARTMENT OF FINANCE,26588,ALL CHICAGO MAKING HOMELESSNESS HISTORY,True
PV39056549754,40730.66,08/19/2018,DEPARTMENT OF CULTURAL AFFAIRS,41933,CORNERSTONE COMMUNITY OUTREACH,True
CVIP635732892,22623.28,04/20/2018,DEPARTMENT OF LAW,24835,AT&T CORP,True
PV99901995392,4667.87,05/11/2019,PLANNING & DEVELOPMENT,24835,HIGHWAY SAFETY CORPORATION.,True
PVCI709994464,218.91,03/14/2018,DEPT OF BUSINESS & INFORMATION SERVICES,33469,"SILK SCREEN EXPRESS, INC.",True
PV99806145758,20832.34,05/09/2018,DEPT OF FAMILY AND SUPPORT SERVICES,65749,BUILDERS CHICAGO CORPORATION,True
PVCI255457361,115199.95,05/01/2018,DEPT OF FAMILY AND SUPPORT SERVICES,21974,"NEIGHBORHOOD HOUSING SERVICES CHICAGO, INC.",True
PVRF002851057,61450.89,06/15/2018,CHICAGO DEPARTMENT OF TRANSPORTATION,24512,"CHICAGO UNITED INDUSTRIES, LIMITED",True
PV39839892177,28479.9,06/19/2018,DEPT OF FAMILY AND SUPPORT SERVICES,69568,"VCNA PRAIRIE ILLINOIS, INC.",True
PVCI680232811,16110.02,07/06/2019,DEPARTMENT OF LAW,24025,"ABC HUMANE WILDLIFE CONTROL & PREVENTION INC,",True
CVIP557890522,223.22,07/08/2018,DEPT OF FAMILY AND SUPPORT SERVICES,T26824,"OCCUPATIONAL HEALTH CENTERS OF ILLINOIS, P.C",True
PVRF619311235,56.41,02/02/2019,DEPT OF BUSINESS & INFORMATION SERVICES,21860,"OFFICE DEPOT, INC.",True
CVIP212137778,6870.23,11/26/2019,DEPT OF COMMUNITY DEVELOPMENT,30986,"OAKK CONSTRUCTION COMPANY, INC",True
PVCI340301895,2550.47,05/23/2019,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,41932,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,True
PV99572914684,36787.41,11/28/2019,DEPT OF FLEET MGMT,28364,VALDES LLC,True
PV99117951249,51923.0,05/16/2019,DEPT OF STREETS & SANITATION,DV,UNIVERSAL SECURITY INC,True
PVRF027490879,2664.96,08/14/2019,DEPT OF FAMILY AND SUPPORT SERVICES,28820,CHICAGO YOUTH CENTERS,True
PVCI779649389,661.87,01/21/2019,DEPARTMENT OF WATER MANAGEMENT,28364,CEPAMERICA ILLINOIS LLP,True
PVRF694115399,2828.56,10/08/2018,DEPARTMENT OF WATER MANAGEMENT,30300,"OFFICE DEPOT, INC.",True
PV39714402446,415.87,02/24/2018,DEPT OF GENERAL SERVICES,30016,NESTLE WATERS NORTH AMERICA,True
CVIP469300060,33.65,02/02/2018,DEPT OF FAMILY AND SUPPORT SERVICES,28364,"OFFICE DEPOT, INC.",True
PV99397642499,408.91,11/28/2018,DEPARTMENT OF WATER MANAGEMENT,32230,"OAKK CONSTRUCTION COMPANY, INC",True
PV39857438036,11254.01,04/30/2019,DEPT OF COMMUNITY DEVELOPMENT,32909,CHICAGO CHILD CARE SOCIETY,False
PV39150650684,29914.15,04/28/2018,DEPARTMENT OF WATER MANAGEMENT,24026,"SOMERCOR 504, INC.",True
PV99658531134,471.78,08/21/2018,DEPARTMENT OF CULTURAL AFFAIRS,T26824,VERITEXT,True
PVCI388926991,14292.48,12/05/2018,DEPARTMENT OF HEALTH,65749,"SUMIT CONSTRUCTION CO., INC.",True
CVIP428245126,101955.91,06/06/2019,OFFICE OF EMERGENCY COMMUNICATION,19651,BUILDERS CHICAGO CORPORATION,True
PV39594439306,73243.54,07/11/2019,DEPT OF FAMILY AND SUPPORT SERVICES,51904,ALL CHICAGO MAKING HOMELESSNESS HISTORY,True
PVRF931840158,1986.74,08/05/2018,CHICAGO PUBLIC LIBRARY,22875,MSC INDUSTRIAL SUPPLY CO,True
PV39536034419,56527.68,07/08/2018,DEPT OF BUSINESS & INFORMATION SERVICES,26313,OZINGA READY MIX CONCRETE INC,True
PV99362564252,26795.47,01/30/2019,DEPARTMENT OF CULTURAL AFFAIRS,19550,DELL MARKETING LP.,True
PV27639644803,1629.64,03/18/2018,DEPT OF FAMILY AND SUPPORT SERVICES,30014,"ERIE FAMILY HEALTH CENTER, INC.",True
PVCI826835724,65638.83,09/11/2019,DEPT OF GENERAL SERVICES,28364,RAE PRODUCTS & CHEMICALS CORPORATION,True
PV39936419016,69.0,01/18/2018,CHICAGO DEPARTMENT OF TRANSPORTATION,26901,HERTZ VEHICLES LLC,True
PV27777264238,187333.5,07/15/2019,DEPT OF AVIATION,19393,"ARNOLD SCOTT HARRIS, P.C.",True
PVRF743954947,27274.99,01/03/2018,DEPT OF FAMILY AND SUPPORT SERVICES,24835,MARY CRANE LEAGUE,True
PVCI639477640,2813.68,07/14/2018,DEPT OF AVIATION,74381,HIGHWAY SAFETY CORPORATION.,True
PV27865743500,7188.51,10/11/2019,DEPT OF GENERAL SERVICES,15451,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,True
PVRF390250380,145532.12,06/20/2018,DEPT OF FAMILY AND SUPPORT SERVICES,30015,"ADA S. MC KINLEY COMMUNITY SERVICES, INC.",True
PVCI817221743,278.4,06/18/2019,DEPT OF FAMILY AND SUPPORT SERVICES,30300,CANON SOLUTIONS AMERICA INC,True
CVIP512643732,23184.81,05/18/2019,DEPT OF FAMILY AND SUPPORT SERVICES,24027,"TPA NETWORK, INC C/O",True
PV39492289680,308615.84,05/09/2018,DEPT OF FLEET MGMT,30586,"EASTER SEALS METROPOLITAN CHICAGO, INC.",True
PVCI559422146,14878.48,07/23/2019,DEPT OF COMMUNITY DEVELOPMENT,30015,AIDS FOUNDATION OF CHICAGO|CLEANED-UP,True
PV39288904885,39726.29,03/03/2019,CHICAGO DEPARTMENT OF TRANSPORTATION,30303,"ASIAN HUMAN SERVICES, INC.",True
PVRF697061470,873.25,06/22/2019,DEPARTMENT OF WATER MANAGEMENT,19651,"OFFICE DEPOT, INC.",True
CVIP083087997,33678.64,10/22/2018,DEPARTMENT OF WATER MANAGEMENT,19847,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,True
PVRF120894443,307.41,02/04/2019,DEPARTMENT OF WATER MANAGEMENT,15451,"OFFICE DEPOT, INC.",True
PVCI751509831,4415.0,11/02/2018,DEPT OF FAMILY AND SUPPORT SERVICES,75071,"INGRAM LIBRARY SERVICES, INC",True
CVIP681426723,635589.29,10/28/2019,DEPT OF FAMILY AND SUPPORT SERVICES,17739,VALDES LLC,True
PV39845793508,376344.44,11/05/2019,DEPT OF AVIATION,29937,"SUMIT CONSTRUCTION CO., INC.",False
PVCI956691815,36093.76,05/29/2019,DEPARTMENT OF LAW,17739,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,True
CVIP870091633,19.31,05/06/2019,DEPARTMENT OF CULTURAL AFFAIRS,30545,P V HOLDING CORP,True
PV99577050448,16163.7,09/06/2019,DEPT OF FAMILY AND SUPPORT SERVICES,61840,PUBLIC HEALTH INSTITUTE OF METROPOLITAN CHICAGO,True
CVIP652101144,6174.76,10/01/2019,DEPT OF GENERAL SERVICES,14731,"OFFICE DEPOT, INC.",True
CVIP284464199,8287.81,02/01/2018,DEPARTMENT OF WATER MANAGEMENT,31001,YOUNG MEN'S CHRISTIAN ASSOCIATION OF CHICAGO,True
PV99594808891,4935.99,06/15/2018,DEPT OF FAMILY AND SUPPORT SERVICES,24932,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,True
PVCI713844623,65188.86,05/19/2019,DEPT OF FAMILY AND SUPPORT SERVICES,31001,"UNISON CONSULTING, INC.",True
PVCI325737452,1356.88,04/25/2019,DEPARTMENT OF WATER MANAGEMENT,32528,VALDES LLC,True
PV39209076504,20396.37,05/13/2018,DEPT OF FLEET MGMT,18086,MICHAEL REESE RESEARCH & EDUCATION FOUNDATION,True
PV99979978247,460898.27,03/18/2018,DEPT OF AVIATION,33461,"ANCHOR MECHANICAL, INC",True
PV27980946320,3727.2,11/21/2018,DEPT OF COMMUNITY DEVELOPMENT,17739,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,True
PV99110167968,8097.83,05/08/2019,DEPT OF FAMILY AND SUPPORT SERVICES,36561,CORNERSTONE COMMUNITY OUTREACH,True
PV99813369160,16578.74,08/25/2018,DEPT OF FAMILY AND SUPPORT SERVICES,18086,"INGRAM LIBRARY SERVICES, INC",True
PV39170035830,3038.13,09/19/2019,DEPT OF BUSINESS & INFORMATION SERVICES,19550,VERIZON WIRELESS,True
CVIP658673634,3151.36,08/28/2018,CHICAGO PUBLIC LIBRARY,33461,AT&T CORP,True
PVCI086256586,14247.44,06/30/2019,DEPARTMENT OF WATER MANAGEMENT,30298,SAFER FOUNDATION 01,True
PV39903851549,76042.98,01/24/2018,DEPT OF FAMILY AND SUPPORT SERVICES,33232,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,True
PV39418478274,5184.09,09/03/2018,DEPT OF FAMILY AND SUPPORT SERVICES,91165,CORNERSTONE COMMUNITY OUTREACH,True
PVRF072338633,14.71,01/06/2019,CHICAGO DEPARTMENT OF TRANSPORTATION,1416,HERTZ VEHICLES LLC,True
PVCI554732786,13281.64,03/29/2019,DEPARTMENT OF WATER MANAGEMENT,17739,"GRAYBAR ELECTRIC COMPANY, INC",True
PV27653973462,9212.2,04/15/2019,CHICAGO DEPARTMENT OF TRANSPORTATION,DV,"KOREAN AMERICAN COMMUNITY SERVICES, INC.",True
PVCI510514163,35858.52,10/25/2018,CHICAGO PUBLIC LIBRARY,21859,ONWARD NEIGHBORHOOD HOUSE,True
PV27424664953,23.66,12/03/2019,DEPT OF FAMILY AND SUPPORT SERVICES,31001,WHEELS LT,True
PV39489682553,411346.76,02/24/2019,DEPT OF STREETS & SANITATION,40336,CHICAGO TRANSITY AUTHORITY.,True
PV39832932688,5003.58,09/29/2019,DEPT OF GENERAL SERVICES,30014,AIR ONE EQUIPMENT INC,True
PVCI956008967,4659.11,02/28/2019,DEPT OF GENERAL SERVICES,24835,"EASTER SEALS METROPOLITAN CHICAGO, INC.",True
CVIP670645710,5892.56,09/16/2019,DEPT OF AVIATION,15451,PEOPLE'S GAS LIGHTS & COKE COOK FLEET|CLEANED-UP,True
PV99480766191,262733.25,10/16/2019,OFFICE OF EMERGENCY COMMUNICATION,41708,"ANCHOR MECHANICAL, INC",True
PV27531532343,40086.51,03/29/2019,DEPT OF GENERAL SERVICES,29742,"SGA YOUTH & FAMILY SERVICES, NFP",True
PVRF215123777,6504.5,12/20/2018,DEPT OF FAMILY AND SUPPORT SERVICES,46305,AMERICAN EXPRESS TRAVEL RELATE,True
PVCI919426295,235786.65,10/18/2018,DEPT OF GENERAL SERVICES,15257,JACOBS ENGINEERING GROUP INC,True
PVRF109943285,15852.79,11/06/2019,DEPT OF FAMILY AND SUPPORT SERVICES,66942,"SGA YOUTH & FAMILY SERVICES, NFP",True
PVCI004425448,7863.12,10/04/2018,DEPARTMENT OF HEALTH,17739,CHICAGO COMMONS ASSOCIATION,True
PVCI018948930,5920.19,01/11/2019,DEPT OF FAMILY AND SUPPORT SERVICES,69568,SALVATION ARMY FAMILY & COMMUNITY SERVICES,True
PVRF993025896,10664136.81,10/30/2018,DEPARTMENT OF WATER MANAGEMENT,1416,SEVEN-D CONSTRUCTION CO.,True
PV27727969323,7067.48,04/30/2019,DEPT OF FAMILY AND SUPPORT SERVICES,29742,HIGHWAY SAFETY CORPORATION.,True
PV27997188277,224.68,07/16/2019,DEPARTMENT OF BUILDINGS,40769,"OFFICE DEPOT, INC.",True
PV27561429305,10194.41,03/19/2019,DEPT OF GENERAL SERVICES,30015,"EASTER SEALS METROPOLITAN CHICAGO, INC.",True
PVCI665496755,9117.6,06/06/2018,DEPT OF AVIATION,33371,"OAKK CONSTRUCTION COMPANY, INC",True
PV27429816127,245181.42,12/12/2018,DEPT OF FLEET MGMT,T26824,KENNY CONSTRUCTION COMPANY,True
PV99851165561,15207.0,11/01/2019,DEPT OF GENERAL SERVICES,30043,MSC INDUSTRIAL SUPPLY CO,True
PV39345816136,141.84,04/27/2018,DEPT OF GENERAL SERVICES,40769,"OFFICE DEPOT, INC.",True
PV99818010872,1634.66,03/29/2019,DEPARTMENT OF LAW,47144,"INGRAM LIBRARY SERVICES, INC",True
CVIP932631201,24969.74,07/20/2018,DEPT OF FLEET MGMT,36561,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,True
PV99926466875,51928.02,02/09/2019,DEPARTMENT OF WATER MANAGEMENT,12687,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,True
PVCI436474574,141475.39,05/18/2018,DEPT OF COMMUNITY DEVELOPMENT,22875,"BOARD OF TRUSTEES OF COMMUNITY COLLEGE DISTRICT #508, COUNTY OF COOK & STATE OF ILLINOIS",True
PV39169358513,3990.4,01/19/2019,DEPARTMENT OF REVENUE,65749,YOUNG MEN'S CHRISTIAN ASSOCIATION OF CHICAGO,True
PVCI148773158,1258.7,07/21/2018,DEPT OF FLEET MGMT,DV,"OFFICE DEPOT, INC.",True
CVIP940255554,2322.62,02/06/2019,FIRE DEPARTMENT,26313,AT&T CORP,True
PV39051611308,8350.44,11/02/2018,DEPT OF GENERAL SERVICES,29709,VALDES LLC,True
PV27060139621,20434.27,07/12/2018,DEPT OF GENERAL SERVICES,26775,BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,True
PV39085480218,11895.23,10/01/2019,DEPT OF FAMILY AND SUPPORT SERVICES,33371,"INDUSTRIAL FENCE, INC",True
PVCI188850611,3460.26,11/29/2018,DEPT OF FAMILY AND SUPPORT SERVICES,27914,"OFFICE DEPOT, INC.",True
PV99281404779,8126.47,07/27/2018,DEPT OF BUSINESS & INFORMATION SERVICES,33461,"VCNA PRAIRIE ILLINOIS, INC.",True
PVCI716727929,138.36,04/13/2018,DEPT OF FAMILY AND SUPPORT SERVICES,20074,JOHNSON PIPE & SUPPLY COMPANY INC,True
PV27333080074,866.27,08/16/2019,DEPT OF AVIATION,15257,"OFFICE DEPOT, INC.",True
CVIP605767775,299.62,10/18/2018,DEPT OF BUSINESS & INFORMATION SERVICES,61840,PV HOLDING CORP,True
PVRF383963946,342.87,05/27/2019,DEPT OF AVIATION,29742,"OFFICE DEPOT, INC.",True
PVRF795183945,1192.53,06/13/2019,DEPT OF FAMILY AND SUPPORT SERVICES,34452,CARE PLUS LLC - MANUAL CORRECTION - AMOUNT ADJUSTMENT,True
PV99123895587,27.65,07/02/2018,DEPT OF COMMUNITY DEVELOPMENT,21859,FEDEX,True
CVIP747583279,9333.97,11/22/2018,DEPT OF COMMUNITY DEVELOPMENT,31001,CORNERSTONE COMMUNITY OUTREACH,False
PVCI017693934,148824.48,09/06/2018,DEPT OF GENERAL SERVICES,33233,TAFT STETTINIUS HOLLISTER LLP CHICAGO,True
PVRF945745986,15253.33,02/21/2019,DEPT OF FAMILY AND SUPPORT SERVICES,33233,SHINING STAR YOUTH & COMMUNITY SERVICES,True
PVRF083155392,3062992.08,12/15/2018,DEPARTMENT OF WATER MANAGEMENT,27914,BENCH MARK CONSTRUCTION. CO. INC,True
CVIP869457071,3883.55,12/05/2018,CHICAGO DEPARTMENT OF TRANSPORTATION,49308,ADVANCE AUTO CENTER,True
PV39108884411,644435.12,05/22/2019,DEPT OF FAMILY AND SUPPORT SERVICES,33469,KENNY CONSTRUCTION COMPANY,True
PV27562637367,4380.7,06/08/2018,DEPT OF COMMUNITY DEVELOPMENT,19539,MICHAEL REESE RESEARCH & EDUCATION FOUNDATION,True
PVCI673465157,90.52,05/31/2019,CHICAGO PUBLIC LIBRARY,32909,"OFFICE DEPOT, INC.",True
PVCI234135465,1592.14,01/27/2018,CHICAGO DEPARTMENT OF TRANSPORTATION,28295,"URLAUB, BOWEN & ASSOCIATES. INC.",True
PV39651261498,18592.96,06/26/2018,DEPT OF BUSINESS & INFORMATION SERVICES,51904,"INGRAM LIBRARY SERVICES, INC",True
PVCI392935786,107077.09,06/20/2019,CHICAGO DEPARTMENT OF TRANSPORTATION,29742,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",True
PV27346702244,12.1,11/02/2018,DEPT OF AVIATION,69568,RENTAL CAR FINANCE CORP,True
PV27634579715,57.87,05/11/2019,DEPARTMENT OF CULTURAL AFFAIRS,40336,"OFFICE DEPOT, INC.",True
PV99187511521,47.8,04/30/2018,OFFICE FOR PEOPLE WITH DISABILITIES,73156,HERTZ VEHICLES LLC,True
PVRF802810175,40069.26,11/11/2018,DEPT OF GENERAL SERVICES,32230,DMJM AVIATION PARTNERS,True
CVIP672098666,3455.65,06/18/2019,DEPT OF AVIATION,30545,HENRY BOOTH HOUSE,True
PV99417974583,42386.33,10/03/2019,CITY CLERK,26313,REITER BURNS LLP,True
PV39820141033,6153.34,10/25/2018,DEPT OF GENERAL SERVICES,19755,HENRY BOOTH HOUSE,True
CVIP720352933,76976.92,05/11/2019,CHICAGO PUBLIC LIBRARY,47144,PUBLIC HEALTH INSTITUTE OF METROPOLITAN CHICAGO,True
PV99977571905,5815.98,10/15/2019,DEPT OF GENERAL SERVICES,T26824,KOAL ENTERPRISES INC,True
PVRF662952570,8754.98,05/30/2019,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,49308,MCKESSON - MEDICAL-SURGICAL GOVERNMENT SOLUTIONS LLC,True
PVCI120997213,106456.49,11/13/2019,DEPT OF FAMILY AND SUPPORT SERVICES,67510,AIR ONE EQUIPMENT INC,True
PVCI095154030,66.33,04/20/2018,DEPT OF FLEET MGMT,21860,HERTZ VEHICLES LLC,True
PVCI619720314,363269.57,01/14/2019,DEPT OF STREETS & SANITATION,26313,RELIABLE CONTRACTING & EQUIP.,True
PV27398088976,322.05,02/12/2018,CHICAGO DEPARTMENT OF TRANSPORTATION,102621,STAPLES BUSINESS ADVANTAGE,True
PV27889392293,35519.82,12/20/2018,DEPT OF FAMILY AND SUPPORT SERVICES,24026,ENTERPRISE LEASING CO OF CHICAGO,True
PVCI170591139,10.88,01/31/2019,DEPARTMENT OF WATER MANAGEMENT,19755,RENTAL CAR FINANCE CORP,True
CVIP279956059,5063.63,05/22/2019,DEPT OF BUSINESS & INFORMATION SERVICES,25098,JOHNSON PIPE & SUPPLY COMPANY INC,True
PVRF758910941,13314.45,06/24/2019,DEPT OF AVIATION,73158,"OFFICE DEPOT, INC.",False
CVIP200154970,15699.65,04/15/2018,DEPT OF GENERAL SERVICES,24025,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,True
PV27880736990,7506.24,04/30/2019,DEPT OF FAMILY AND SUPPORT SERVICES,33469,OLIVE BRANCH MISSION,True
PV99301241796,33946.37,07/05/2018,DEPT OF GENERAL SERVICES,28364,OZINGA READY MIX CONCRETE INC,True
PVRF048308519,17407.73,01/10/2019,DEPT OF FAMILY AND SUPPORT SERVICES,19755,OZINGA READY MIX CONCRETE INC,True
PVCI448114999,8008.75,04/26/2018,DEPARTMENT OF WATER MANAGEMENT,26313,MARY CRANE LEAGUE,True
PV27029644414,1852.67,03/22/2018,FIRE DEPARTMENT,19393,MICHAEL REESE RESEARCH & EDUCATION FOUNDATION,True
CVIP174106602,2758.76,02/02/2019,DEPT OF FLEET MGMT,30298,SALVATION ARMY FAMILY & COMMUNITY SERVICES,True
PV27543290378,2453.83,02/09/2018,DEPT OF FAMILY AND SUPPORT SERVICES,31999,G & V CONSTRUCTION CO INC,True
PV39124178018,11637.53,02/15/2018,DEPT OF FLEET MGMT,19550,HENRY BOOTH HOUSE,True
PV39604316059,14588.15,11/25/2019,DEPT OF GENERAL SERVICES,19550,"INGRAM LIBRARY SERVICES, INC",True
PV27298096967,734462.34,01/10/2018,DEPT OF FAMILY AND SUPPORT SERVICES,24512,"MCDONAGH DEMOLITION, INC.",True
PVCI065397527,9.86,03/27/2019,DEPT OF GENERAL SERVICES,24932,RENTAL CAR FINANCE CORP,True
PVRF610117141,621.45,07/16/2019,DEPT OF COMMUNITY DEVELOPMENT,19651,"OFFICE DEPOT, INC.",True
PV27338280391,2797.19,09/23/2018,DEPARTMENT OF FINANCE,15257,"TPA NETWORK, INC C/O",False
PVCI382589932,2073.99,04/28/2018,DEPARTMENT OF HEALTH,30015,CHICAGO YOUTH CENTERS,True
PV99266921017,153.55,04/01/2018,CHICAGO DEPARTMENT OF TRANSPORTATION,73158,"OFFICE DEPOT, INC.",True
PV99522380555,1196.6,09/29/2019,DEPARTMENT OF WATER MANAGEMENT,19755,GREATER ILLINOIS TITLE COMPANY,True
PVCI645007987,115971.4,01/12/2019,DEPT OF FAMILY AND SUPPORT SERVICES,29742,TAFT STETTINIUS HOLLISTER LLP CHICAGO,True
PV99812986302,19008.78,01/09/2019,DEPARTMENT OF WATER MANAGEMENT,28466,AIR ONE EQUIPMENT INC,True
PVCI679442974,45421.42,09/04/2018,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,24932,PUERTO RICAN CULTURAL CENTER,True
PV27048235960,14415.1,05/21/2019,CHICAGO PUBLIC LIBRARY,30298,PRODUCTION DISTRIBUTION COMPANIES,True
PV39895270835,24279.71,01/23/2018,CHICAGO PUBLIC LIBRARY,73156,HIGHWAY SAFETY CORPORATION.,True
PV39830116784,362.71,10/10/2018,DEPT OF FAMILY AND SUPPORT SERVICES,30014,"SAFELITE FULFILLMENT, INC.",True
PV39364081019,206515.94,05/04/2019,CHICAGO DEPARTMENT OF TRANSPORTATION,32230,MOTOROLA SOLUTIONS INC,True
CVIP227786986,2512.74,04/09/2019,CHICAGO DEPARTMENT OF TRANSPORTATION,3718,"OFFICE DEPOT, INC.",True
PV99555582365,10269.56,04/01/2019,CHICAGO PUBLIC LIBRARY,30300,AIR ONE EQUIPMENT INC,True
PV27195476927,94007.96,04/19/2019,FIRE DEPARTMENT,24932,AT&T CORP,True
CVIP815102852,929.27,05/06/2019,DEPT OF FAMILY AND SUPPORT SERVICES,30298,"OFFICE DEPOT, INC.",True
PVCI538664887,14164.78,03/29/2018,FIRE DEPARTMENT,91165,"INGRAM LIBRARY SERVICES, INC",True
PV99395453497,188.74,06/13/2018,DEPT OF FAMILY AND SUPPORT SERVICES,25098,"OFFICE DEPOT, INC.",True
PV27610120833,1034.32,05/17/2019,DEPT OF GENERAL SERVICES,30300,BRIDGES COURT REPORTING,True
PV39638686336,6247.83,04/25/2018,DEPT OF BUSINESS & INFORMATION SERVICES,20293,PUBLIC HEALTH INSTITUTE OF METROPOLITAN CHICAGO,True
PV39421825990,3332.35,08/28/2018,DEPT OF AVIATION,29709,"MOBILE FACILITIES OF ILL, INC.",True
PVCI189490698,28.66,09/24/2018,DEPT OF STREETS & SANITATION,18086,P V HOLDING CORP,True
PVCI075504748,99657.91,10/27/2019,CHICAGO DEPARTMENT OF TRANSPORTATION,51904,UNIVERSAL SECURITY INC,True
PV39681705488,22505.54,06/28/2019,CHICAGO PUBLIC LIBRARY,18086,BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,True
PV99376314007,13892.1,03/20/2019,DEPT OF COMMUNITY DEVELOPMENT,33233,HNTB CORPORATION,True
PV39301728161,11541.4,09/26/2019,DEPT OF GENERAL SERVICES,24026,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,True
PV99925424442,9172.03,04/24/2018,DEPT OF AVIATION,30545,OLIVE BRANCH MISSION,True
PVRF963465975,10024.92,05/14/2018,DEPARTMENT OF WATER MANAGEMENT,67510,ALL CHICAGO MAKING HOMELESSNESS HISTORY,True
CVIP824612555,39.52,09/23/2019,DEPT OF AVIATION,30301,WHEELS LT,True
PVCI655282001,5634.89,11/30/2019,CHICAGO DEPARTMENT OF TRANSPORTATION,30300,MCKESSON - MEDICAL-SURGICAL GOVERNMENT SOLUTIONS LLC,True
PVRF027613761,8740.05,02/22/2019,CHICAGO DEPARTMENT OF TRANSPORTATION,33717,MSC INDUSTRIAL SUPPLY CO,True
PV99636959594,4346.29,03/31/2019,FIRE DEPARTMENT,26588,MSC INDUSTRIAL SUPPLY CO,True
