VOUCHER NUMBER,AMOUNT,CHECK DATE,DEPARTMENT NAME,VENDOR NAME,YEAR,MONTH
PV27123886114,9446.41,2019-04-12,DEPT OF FAMILY AND SUPPORT SERVICES,SALVATION ARMY FAMILY & COMMUNITY SERVICES,2019,4
PV27262356702,2198.47,2018-01-09,DEPT OF FAMILY AND SUPPORT SERVICES,"INGRAM LIBRARY SERVICES, INC",2018,1
PV27175564088,531.1,2018-09-14,DEPT OF AVIATION,GREATER ILLINOIS TITLE COMPANY,2018,9
PV99417497623,276.76,2019-10-21,DEPT OF FAMILY AND SUPPORT SERVICES,LEXIS-NEXIS,2019,10
PV99440242969,25901.06,2019-06-28,DEPT OF FAMILY AND SUPPORT SERVICES,"LANDRUM & BROWN, INC",2019,6
PV39543693686,1406.0,2018-08-07,DEPARTMENT OF HEALTH,"CHICAGO UNITED INDUSTRIES, LIMITED",2018,8
PV27004787438,155750.16,2019-02-05,DEPT OF FAMILY AND SUPPORT SERVICES,G & V CONSTRUCTION CO INC,2019,2
PV39307070421,554966.73,2018-04-12,DEPARTMENT OF POLICE,SEVEN-D CONSTRUCTION CO.,2018,4
PVRF415741753,418047.54,2018-12-17,CHICAGO DEPARTMENT OF TRANSPORTATION,RUSH UNIVERSITY MEDICAL CENTER,2018,12
CVIP932437902,1457.82,2019-06-13,CHICAGO DEPARTMENT OF TRANSPORTATION,HOWARD BROWN HEALTH CENTER,2019,6
PVRF980947869,11529.14,2018-10-27,CHICAGO PUBLIC LIBRARY,"OAKK CONSTRUCTION COMPANY, INC",2018,10
PV27558232971,79960.42,2019-11-09,DEPT OF BUSINESS & INFORMATION SERVICES,AT&T CORP,2019,11
PV27420146306,6684.42,2019-01-26,DEPT OF FAMILY AND SUPPORT SERVICES,VALDES LLC,2019,1
CVIP855308195,59679.18,2018-01-29,DEPARTMENT OF WATER MANAGEMENT,CHICAGO COMMONS ASSOCIATION 02,2018,1
PVRF346652635,9790.24,2018-10-23,DEPT OF FAMILY AND SUPPORT SERVICES,OZINGA READY MIX CONCRETE INC,2018,10
PVRF012117169,31.78,2019-02-14,DEPT OF STREETS & SANITATION,"OFFICE DEPOT, INC.",2019,2
PVCI954607808,51594.22,2018-04-04,DEPT OF GENERAL SERVICES,HERC RENTALS INC,2018,4
PV39405394719,147365.24,2019-10-07,DEPT OF GENERAL SERVICES,DMJM AVIATION PARTNERS,2019,10
CVIP799877848,5779.13,2018-01-12,DEPT OF FLEET MGMT,MERCYWORKS OCCUPATIONAL MEDICINE,2018,1
CVIP616559144,1251.21,2018-02-19,DEPARTMENT OF WATER MANAGEMENT,"INGRAM LIBRARY SERVICES, INC",2018,2
PV39694972997,15125.91,2019-06-29,DEPT OF FAMILY AND SUPPORT SERVICES,VERIZON WIRELESS,2019,6
PVCI355932246,235.77,2019-04-02,DEPT OF GENERAL SERVICES,"OFFICE DEPOT, INC.",2019,4
PV27883787549,16387.75,2018-03-28,DEPT OF GENERAL SERVICES,OZINGA READY MIX CONCRETE INC,2018,3
PV27626770737,571.07,2018-07-03,DEPT OF GENERAL SERVICES,WHEELS LT,2018,7
CVIP593660284,90957.43,2019-05-08,DEPARTMENT OF HEALTH,"GLOBETROTTERS ENGINEERING CORPORATION, ATTN: DAVID FELLER",2019,5
PV27527374786,14468.63,2019-02-13,DEPT OF FAMILY AND SUPPORT SERVICES,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,2019,2
CVIP689363951,51683.81,2018-09-17,OHARE MODERNIZATION PROJECT,CAROLE ROBERTSON CENTER FOR LEARNING,2018,9
PVRF801556523,22900.46,2018-12-09,DEPT OF AVIATION,PRIMO CENTER FOR WOMEN AND CHILDREN,2018,12
PVRF242228036,29363.85,2019-08-12,DEPARTMENT OF LAW,MARY CRANE LEAGUE,2019,8
PV39848453063,335.61,2019-04-17,DEPT OF FAMILY AND SUPPORT SERVICES,"OFFICE DEPOT, INC.",2019,4
PVRF201243554,126746.83,2018-03-16,DEPT OF AVIATION,BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,2018,3
PV99137787215,3060.34,2019-07-12,DEPT OF BUSINESS & INFORMATION SERVICES,AT&T CORP,2019,7
PVRF959740349,229.32,2018-12-08,DEPT OF FLEET MGMT,"OFFICE DEPOT, INC.",2018,12
PVRF102963060,14854.74,2019-08-19,DEPT OF FAMILY AND SUPPORT SERVICES,REITER BURNS LLP,2019,8
PV27851627644,75267.58,2019-02-25,CHICAGO PUBLIC LIBRARY,"OPEN KITCHENS, INC.",2019,2
PV99210834937,72883.21,2018-07-14,DEPT OF FAMILY AND SUPPORT SERVICES,LANGUAGE LINE SERVICES 01,2018,7
PVRF146104155,59546.1,2019-04-03,DEPT OF STREETS & SANITATION,LEXIS-NEXIS,2019,4
PVRF192955782,88527.09,2018-05-28,DEPARTMENT OF WATER MANAGEMENT,"MCDONAGH DEMOLITION, INC.",2018,5
PV27106075754,68783.01,2018-09-28,CHICAGO DEPARTMENT OF TRANSPORTATION,CHICAGO COMMONS ASSOCIATION,2018,9
PVCI304249528,13318.97,2019-12-02,DEPT OF FAMILY AND SUPPORT SERVICES,ENTERPRISE LEASING CO OF CHICAGO,2019,12
PV39140163528,18084.61,2019-02-13,DEPT OF GENERAL SERVICES,CHICAGO CHILD CARE SOCIETY,2019,2
CVIP283768463,4694.72,2018-01-14,DEPT OF FAMILY AND SUPPORT SERVICES,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,2018,1
PV39836394225,4268.39,2018-09-28,DEPT OF GENERAL SERVICES,SALVATION ARMY FAMILY & COMMUNITY SERVICES,2018,9
PVCI689101832,6719.69,2019-08-17,DEPT OF BUSINESS & INFORMATION SERVICES,OZINGA READY MIX CONCRETE INC,2019,8
PVCI287122368,30535.6,2019-06-03,DEPT OF FAMILY AND SUPPORT SERVICES,"SILK SCREEN EXPRESS, INC.",2019,6
PV27926700230,99211.51,2019-01-04,DEPT OF FAMILY AND SUPPORT SERVICES,CONNECT CHICAGO ALLIANCE JV,2019,1
PV27797538318,3120.19,2019-09-04,DEPT OF STREETS & SANITATION,MERCYWORKS OCCUPATIONAL MEDICINE,2019,9
PV27808147624,61.57,2019-03-11,DEPT OF FAMILY AND SUPPORT SERVICES,"OFFICE DEPOT, INC.",2019,3
PVRF998544253,30690.71,2018-07-05,DEPT OF BUSINESS & INFORMATION SERVICES,HNTB CORPORATION,2018,7
PVRF628503630,2341.33,2019-07-18,CHICAGO PUBLIC LIBRARY,"ARROW MESSENGER SERVICES, INC.",2019,7
PVCI716786715,3255.68,2018-10-23,CHICAGO DEPARTMENT OF TRANSPORTATION,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,2018,10
CVIP771493958,20883.23,2019-02-02,DEPT OF FAMILY AND SUPPORT SERVICES,SALVATION ARMY FAMILY & COMMUNITY SERVICES,2019,2
PVRF079610348,91729.77,2019-03-01,CHICAGO DEPARTMENT OF TRANSPORTATION,"TRINITY UNITED CHURCH OF CHRIST CHILD CARE CENTERS, INC",2019,3
CVIP863872568,4530.24,2018-10-23,DEPT OF GENERAL SERVICES,KOAL ENTERPRISES INC,2018,10
PVCI301875807,755.26,2019-09-08,DEPT OF STREETS & SANITATION,WORLD FUEL SERVICES INC - URGENT - SAME DAY WIRE TRANSFER,2019,9
CVIP992067171,335.42,2019-04-10,DEPT OF GENERAL SERVICES,"PROGRESSIVE INDUSTRIES, INC.",2019,4
PVRF278510830,15645.63,2019-04-12,DEPT OF FAMILY AND SUPPORT SERVICES,"MCDONAGH DEMOLITION, INC.",2019,4
PV27420688258,4526.98,2018-03-23,DEPT OF AVIATION,"CHINESE AMERICAN SERVICE LEAGUE, INC.",2018,3
PV39403621696,14810.63,2018-02-11,DEPARTMENT OF HEALTH,MCKESSON - MEDICAL-SURGICAL GOVERNMENT SOLUTIONS LLC,2018,2
PV99396343482,599.25,2019-01-21,DEPT OF GENERAL SERVICES,"OFFICE DEPOT, INC.",2019,1
PV27134438680,6587.05,2018-12-04,DEPT OF GENERAL SERVICES,"ANCHOR MECHANICAL, INC",2018,12
PV99692278913,7772.95,2018-09-24,DEPARTMENT OF WATER MANAGEMENT,"PROGRESSIVE INDUSTRIES, INC.",2018,9
PV99847709193,41348.56,2018-04-10,DEPT OF AVIATION,AT&T CORP,2018,4
PV39722899151,22227.51,2018-01-23,DEPT OF AVIATION,CHICAGO COMMONS ASSOCIATION 02,2018,1
PV27813370711,36795.09,2018-01-03,DEPT OF GENERAL SERVICES,G & V CONSTRUCTION CO INC,2018,1
PVRF232737605,4993.43,2019-06-14,DEPT OF STREETS & SANITATION,THRESHOLDS,2019,6
PVCI347330435,7238.92,2018-08-24,DEPT OF AVIATION,VERIZON WIRELESS,2018,8
PV27604811230,2598.99,2019-06-07,DEPT OF GENERAL SERVICES,THOMSON WEST,2019,6
PVRF824426279,4616.03,2018-11-23,DEPT OF GENERAL SERVICES,"HENRY FRERK SONS, INC.",2018,11
PV39427682065,3224.42,2019-09-21,DEPT OF FAMILY AND SUPPORT SERVICES,MIDLAND ORTHOPEDIC ASSOCIATES 01,2019,9
PV27834220595,36900.04,2018-04-01,DEPT OF BUSINESS & INFORMATION SERVICES,SEVEN-D CONSTRUCTION CO.,2018,4
PV99931169727,346.34,2018-03-31,DEPT OF FAMILY AND SUPPORT SERVICES,JOHNSON PIPE & SUPPLY COMPANY INC,2018,3
CVIP520075041,9734.61,2019-02-18,CHICAGO DEPARTMENT OF TRANSPORTATION,VERIZON WIRELESS,2019,2
PV27814157641,20104.62,2019-01-09,DEPT OF GENERAL SERVICES,CHICAGO COMMONS ASSOCIATION,2019,1
PV27957129557,26.54,2018-03-01,CHICAGO DEPARTMENT OF TRANSPORTATION,RENTAL CAR FINANCE CORP,2018,3
PVRF394046068,851.61,2019-04-08,DEPT OF FLEET MGMT,"COVENTRY HEALTH CARE WORK COMPENSATION, INC.",2019,4
PV27972906759,4516.74,2019-07-21,DEPT OF COMMUNITY DEVELOPMENT,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,2019,7
PVRF907104065,7252.09,2018-03-11,CHICAGO PUBLIC LIBRARY,GADS HILL CENTER 01,2018,3
PVRF867643247,1141192.18,2018-03-16,DEPT OF FAMILY AND SUPPORT SERVICES,"SOMERCOR 504, INC.",2018,3
PV39125176318,6654.65,2018-03-25,DEPT OF BUSINESS & INFORMATION SERVICES,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,2018,3
PV39128269293,9176.47,2018-06-17,DEPT OF FAMILY AND SUPPORT SERVICES,MSC INDUSTRIAL SUPPLY CO,2018,6
PV39230746832,4652.26,2019-11-06,DEPT OF AVIATION,VERIZON WIRELESS,2019,11
PVRF473689985,16171.16,2019-11-07,DEPT OF FLEET MGMT,"INGRAM LIBRARY SERVICES, INC",2019,11
PV39672240110,4255.41,2018-01-06,DEPT OF FAMILY AND SUPPORT SERVICES,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,2018,1
PV27452329147,109.19,2019-08-24,DEPT OF FAMILY AND SUPPORT SERVICES,"MIDWEST ORTHOPAEDICS AT RUSH, LLC",2019,8
CVIP924068910,2268.28,2018-06-25,CHICAGO DEPARTMENT OF TRANSPORTATION,"VCNA PRAIRIE ILLINOIS, INC.",2018,6
PV27185855829,30126.03,2018-07-03,DEPT OF GENERAL SERVICES,SEBIS DIRECT,2018,7
CVIP925320740,25808.13,2018-04-19,DEPT OF COMMUNITY DEVELOPMENT,RELIABLE CONTRACTING & EQUIP.,2018,4
PV27787939784,1142.36,2018-05-19,DEPT OF FAMILY AND SUPPORT SERVICES,CITY UTILITY EQUIPMENT SALES & LEASING COMPANY,2018,5
PV99659332054,14121.2,2019-09-08,DEPARTMENT OF WATER MANAGEMENT,A SAFE HAVEN FOUNDATION,2019,9
PV27320524451,11083.45,2019-05-11,CHICAGO PUBLIC LIBRARY,MICHAEL REESE RESEARCH & EDUCATION FOUNDATION,2019,5
PV39944162578,2421.92,2019-09-15,CHICAGO DEPARTMENT OF TRANSPORTATION,VERIZON WIRELESS,2019,9
CVIP578156759,7899.69,2018-12-12,DEPT OF AVIATION,"INGRAM LIBRARY SERVICES, INC",2018,12
CVIP655333809,2197.59,2018-06-20,DEPT OF FLEET MGMT,CORNERSTONE COMMUNITY OUTREACH,2018,6
PV39872274431,2317.01,2019-06-19,DEPT OF AVIATION,OZINGA READY MIX CONCRETE INC,2019,6
PVCI080402814,9000.08,2019-05-08,DEPARTMENT OF HEALTH,AIR ONE EQUIPMENT INC,2019,5
CVIP309877411,65936.6,2018-01-21,DEPT OF FAMILY AND SUPPORT SERVICES,HOWARD BROWN HEALTH CENTER,2018,1
CVIP655995984,4264.94,2019-10-12,DEPT OF FAMILY AND SUPPORT SERVICES,AT&T CORP,2019,10
PVRF318911432,426754.47,2019-09-10,DEPARTMENT OF WATER MANAGEMENT,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",2019,9
CVIP156311240,5924.75,2018-10-30,DEPT OF FAMILY AND SUPPORT SERVICES,VERIZON WIRELESS,2018,10
PV39700864529,4640.9,2018-05-22,CHICAGO PUBLIC LIBRARY,MICHAEL REESE RESEARCH & EDUCATION FOUNDATION,2018,5
PV99007464568,3747.66,2018-10-20,DEPT OF FLEET MGMT,CEPAMERICA ILLINOIS LLP,2018,10
CVIP212241805,26732.43,2018-02-26,DEPT OF FAMILY AND SUPPORT SERVICES,METROPOLITAN FAMILY SERVICE,2018,2
CVIP664841132,32.23,2018-03-23,DEPT OF GENERAL SERVICES,SCR MEDICAL TRANSPORTATIONS INC LS,2018,3
CVIP647016082,527.39,2018-12-12,COMM ON ANIMAL CARE & CONTROL,CEPAMERICA ILLINOIS LLP,2018,12
PV99846374821,1105.97,2019-05-20,DEPT OF FAMILY AND SUPPORT SERVICES,CEPAMERICA ILLINOIS LLP,2019,5
PVRF335489290,743.05,2018-06-06,DEPT OF FAMILY AND SUPPORT SERVICES,QUILL CORPORATION,2018,6
PV39283837197,2430.93,2019-05-29,DEPT OF GENERAL SERVICES,"OAKK CONSTRUCTION COMPANY, INC",2019,5
PV99967791061,8449.18,2019-11-13,DEPT OF FAMILY AND SUPPORT SERVICES,SALVATION ARMY FAMILY & COMMUNITY SERVICES,2019,11
CVIP129261995,16297.47,2019-10-13,DEPT OF GENERAL SERVICES,"EASTER SEALS METROPOLITAN CHICAGO, INC.",2019,10
PVRF484461858,3128.06,2018-02-10,DEPT OF FAMILY AND SUPPORT SERVICES,CONNECT CHICAGO ALLIANCE JV,2018,2
PVRF514703714,746271.63,2018-10-09,DEPT OF GENERAL SERVICES,PAN-OCEANIC ENGINEERING CO INC,2018,10
PVCI162650979,6813.52,2019-07-23,CHICAGO PUBLIC LIBRARY,CORNERSTONE COMMUNITY OUTREACH,2019,7
CVIP466035782,5421.37,2018-07-07,DEPARTMENT OF WATER MANAGEMENT,"ARROW MESSENGER SERVICES, INC.",2018,7
PV39711559117,24.51,2018-10-21,DEPT OF FAMILY AND SUPPORT SERVICES,SCR MEDICAL TRANSPORTATIONS INC LS,2018,10
PV39777630121,1281.13,2018-05-13,FIRE DEPARTMENT,AT & T 09,2018,5
PVCI134001376,14811.72,2019-01-19,OHARE MODERNIZATION PROJECT,CORNERSTONE COMMUNITY OUTREACH,2019,1
PV27369340498,325.32,2018-06-26,DEPARTMENT OF LAW,AT&T CORP,2018,6
PVRF863557208,62.66,2018-09-04,DEPT OF FAMILY AND SUPPORT SERVICES,UNITED PARCEL SERVICE 01,2018,9
PVCI192042223,6292.28,2019-01-24,DEPARTMENT OF LAW,"INGRAM LIBRARY SERVICES, INC",2019,1
PVRF329206147,8.36,2018-06-18,DEPT OF AVIATION,"OFFICE DEPOT, INC.",2018,6
PVCI911573209,13402.95,2019-05-17,DEPT OF FLEET MGMT,CORNERSTONE COMMUNITY OUTREACH,2019,5
PVRF384319117,358.77,2019-11-17,DEPARTMENT OF WATER MANAGEMENT,"OFFICE DEPOT, INC.",2019,11
CVIP440892651,77282.65,2019-05-13,DEPT OF FAMILY AND SUPPORT SERVICES,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO,2019,5
PVRF467893415,4024.8,2018-08-02,CHICAGO PUBLIC LIBRARY,"INGRAM LIBRARY SERVICES, INC",2018,8
PV27088502400,14297.95,2018-08-10,DEPT OF FAMILY AND SUPPORT SERVICES,"GRAYBAR ELECTRIC COMPANY, INC",2018,8
PV99660665267,2837.42,2018-09-20,DEPT OF FAMILY AND SUPPORT SERVICES,"VCNA PRAIRIE ILLINOIS, INC.",2018,9
PV27234002431,50.52,2019-03-30,DEPT OF AVIATION,SCR MEDICAL TRANSPORTATIONS INC LS,2019,3
CVIP046505661,44.75,2018-07-06,DEPT OF FLEET MGMT,WHEELS LT,2018,7
PV27444806885,5095.39,2018-11-25,DEPT OF GENERAL SERVICES,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,2018,11
PVRF611614932,36245.94,2018-02-19,DEPARTMENT OF WATER MANAGEMENT,HERC RENTALS INC,2018,2
PVRF477266753,25838.37,2019-01-10,DEPT OF AVIATION,CATHOLIC BISHOP OF CHICAGO - ST. SABINA CHURCH,2019,1
CVIP828487319,6092.47,2018-05-26,CHICAGO DEPARTMENT OF TRANSPORTATION,"INGRAM LIBRARY SERVICES, INC",2018,5
PVCI249740053,4477.68,2018-12-22,DEPARTMENT OF POLICE,CHICAGO URBAN LEAGUE DEV CORP,2018,12
PVRF801735355,7047.8,2018-08-04,DEPT OF GENERAL SERVICES,PRIMO CENTER FOR WOMEN AND CHILDREN,2018,8
PVCI863373518,5133.13,2018-01-10,DEPT OF AVIATION,MSC INDUSTRIAL SUPPLY CO,2018,1
PV27540402451,1113326.68,2018-08-21,CHICAGO DEPARTMENT OF TRANSPORTATION,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",2018,8
PVCI157493047,31356.6,2019-08-16,CHICAGO PUBLIC LIBRARY,"UNISON CONSULTING, INC.",2019,8
PVRF323791504,802274.25,2019-05-21,DEPARTMENT OF BUILDINGS,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO,2019,5
PV39534220236,32.36,2018-09-13,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,PV HOLDING CORP,2018,9
PVRF862988509,1714.81,2019-03-07,DEPT OF FLEET MGMT,"OFFICE DEPOT, INC.",2019,3
PV39425760506,6562.41,2018-06-27,DEPT OF FLEET MGMT,"IT TAKES A VILLAGE CHILD CARE SERVICES, INC",2018,6
PVCI731748409,15858.89,2018-06-14,DEPT OF GENERAL SERVICES,ADVANCE AUTO CENTER,2018,6
PVCI400036545,154757.84,2018-03-24,DEPT OF GENERAL SERVICES,ALL CHICAGO MAKING HOMELESSNESS HISTORY,2018,3
CVIP790987428,21523.69,2018-11-19,DEPT OF FAMILY AND SUPPORT SERVICES,"BOARD OF TRUSTEES OF COMMUNITY COLLEGE DISTRICT #508, COUNTY OF COOK & STATE OF ILLINOIS",2018,11
PVRF786381258,71.0,2018-04-17,DEPT OF BUSINESS & INFORMATION SERVICES,HERTZ VEHICLES LLC,2018,4
PV27240191636,91149.58,2018-05-24,DEPT OF STREETS & SANITATION,"ERIE FAMILY HEALTH CENTER, INC.",2018,5
PV39575909257,112740.41,2018-11-04,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,G & V CONSTRUCTION CO INC,2018,11
PV99042682477,458.39,2019-03-31,DEPARTMENT OF BUILDINGS,"OFFICE DEPOT, INC.",2019,3
CVIP734243441,3254.01,2019-02-12,DEPT OF FAMILY AND SUPPORT SERVICES,CATHOLIC BISHOP OF CHICAGO - ST. SABINA CHURCH,2019,2
PV39387647828,16342.46,2018-09-07,DEPT OF FAMILY AND SUPPORT SERVICES,HERC RENTALS INC,2018,9
PV39197471015,119180.93,2019-06-22,DEPT OF FAMILY AND SUPPORT SERVICES,ERIE NEIGHBORHOOD HOUSE,2019,6
CVIP215826827,28.13,2019-01-13,DEPT OF FAMILY AND SUPPORT SERVICES,RENTAL CAR FINANCE CORP,2019,1
PVCI714034390,1076.15,2018-11-20,DEPARTMENT OF WATER MANAGEMENT,RENTAL CAR FINANCE CORP,2018,11
PV39603288432,21611.92,2019-08-12,DEPARTMENT OF HEALTH,PRODUCTION DISTRIBUTION COMPANIES,2019,8
PVRF895489009,347883.95,2019-07-15,DEPT OF FAMILY AND SUPPORT SERVICES,KENNY CONSTRUCTION COMPANY,2019,7
CVIP404341761,27450.38,2018-04-17,DEPARTMENT OF FINANCE,ALL CHICAGO MAKING HOMELESSNESS HISTORY,2018,4
PV39056549754,40730.66,2018-08-19,DEPARTMENT OF CULTURAL AFFAIRS,CORNERSTONE COMMUNITY OUTREACH,2018,8
CVIP635732892,22623.28,2018-04-20,DEPARTMENT OF LAW,AT&T CORP,2018,4
PV99901995392,4667.87,2019-05-11,PLANNING & DEVELOPMENT,HIGHWAY SAFETY CORPORATION.,2019,5
PVCI709994464,218.91,2018-03-14,DEPT OF BUSINESS & INFORMATION SERVICES,"SILK SCREEN EXPRESS, INC.",2018,3
PV99806145758,20832.34,2018-05-09,DEPT OF FAMILY AND SUPPORT SERVICES,BUILDERS CHICAGO CORPORATION,2018,5
PVCI255457361,115199.95,2018-05-01,DEPT OF FAMILY AND SUPPORT SERVICES,"NEIGHBORHOOD HOUSING SERVICES CHICAGO, INC.",2018,5
PVRF002851057,61450.89,2018-06-15,CHICAGO DEPARTMENT OF TRANSPORTATION,"CHICAGO UNITED INDUSTRIES, LIMITED",2018,6
PV39839892177,28479.9,2018-06-19,DEPT OF FAMILY AND SUPPORT SERVICES,"VCNA PRAIRIE ILLINOIS, INC.",2018,6
PVCI680232811,16110.02,2019-07-06,DEPARTMENT OF LAW,"ABC HUMANE WILDLIFE CONTROL & PREVENTION INC,",2019,7
CVIP557890522,223.22,2018-07-08,DEPT OF FAMILY AND SUPPORT SERVICES,"OCCUPATIONAL HEALTH CENTERS OF ILLINOIS, P.C",2018,7
PVRF619311235,56.41,2019-02-02,DEPT OF BUSINESS & INFORMATION SERVICES,"OFFICE DEPOT, INC.",2019,2
CVIP212137778,6870.23,2019-11-26,DEPT OF COMMUNITY DEVELOPMENT,"OAKK CONSTRUCTION COMPANY, INC",2019,11
PVCI340301895,2550.47,2019-05-23,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,2019,5
PV99572914684,36787.41,2019-11-28,DEPT OF FLEET MGMT,VALDES LLC,2019,11
PV99117951249,51923.0,2019-05-16,DEPT OF STREETS & SANITATION,UNIVERSAL SECURITY INC,2019,5
PVRF027490879,2664.96,2019-08-14,DEPT OF FAMILY AND SUPPORT SERVICES,CHICAGO YOUTH CENTERS,2019,8
PVCI779649389,661.87,2019-01-21,DEPARTMENT OF WATER MANAGEMENT,CEPAMERICA ILLINOIS LLP,2019,1
PVRF694115399,2828.56,2018-10-08,DEPARTMENT OF WATER MANAGEMENT,"OFFICE DEPOT, INC.",2018,10
PV39714402446,415.87,2018-02-24,DEPT OF GENERAL SERVICES,NESTLE WATERS NORTH AMERICA,2018,2
CVIP469300060,33.65,2018-02-02,DEPT OF FAMILY AND SUPPORT SERVICES,"OFFICE DEPOT, INC.",2018,2
PV99397642499,408.91,2018-11-28,DEPARTMENT OF WATER MANAGEMENT,"OAKK CONSTRUCTION COMPANY, INC",2018,11
PV39857438036,11254.01,2019-04-30,DEPT OF COMMUNITY DEVELOPMENT,CHICAGO CHILD CARE SOCIETY,2019,4
PV39150650684,29914.15,2018-04-28,DEPARTMENT OF WATER MANAGEMENT,"SOMERCOR 504, INC.",2018,4
PV99658531134,471.78,2018-08-21,DEPARTMENT OF CULTURAL AFFAIRS,VERITEXT,2018,8
PVCI388926991,14292.48,2018-12-05,DEPARTMENT OF HEALTH,"SUMIT CONSTRUCTION CO., INC.",2018,12
CVIP428245126,101955.91,2019-06-06,OFFICE OF EMERGENCY COMMUNICATION,BUILDERS CHICAGO CORPORATION,2019,6
PV39594439306,73243.54,2019-07-11,DEPT OF FAMILY AND SUPPORT SERVICES,ALL CHICAGO MAKING HOMELESSNESS HISTORY,2019,7
PVRF931840158,1986.74,2018-08-05,CHICAGO PUBLIC LIBRARY,MSC INDUSTRIAL SUPPLY CO,2018,8
PV39536034419,56527.68,2018-07-08,DEPT OF BUSINESS & INFORMATION SERVICES,OZINGA READY MIX CONCRETE INC,2018,7
PV99362564252,26795.47,2019-01-30,DEPARTMENT OF CULTURAL AFFAIRS,DELL MARKETING LP.,2019,1
PV27639644803,1629.64,2018-03-18,DEPT OF FAMILY AND SUPPORT SERVICES,"ERIE FAMILY HEALTH CENTER, INC.",2018,3
PVCI826835724,65638.83,2019-09-11,DEPT OF GENERAL SERVICES,RAE PRODUCTS & CHEMICALS CORPORATION,2019,9
PV39936419016,69.0,2018-01-18,CHICAGO DEPARTMENT OF TRANSPORTATION,HERTZ VEHICLES LLC,2018,1
PV27777264238,187333.5,2019-07-15,DEPT OF AVIATION,"ARNOLD SCOTT HARRIS, P.C.",2019,7
PVRF743954947,27274.99,2018-01-03,DEPT OF FAMILY AND SUPPORT SERVICES,MARY CRANE LEAGUE,2018,1
PVCI639477640,2813.68,2018-07-14,DEPT OF AVIATION,HIGHWAY SAFETY CORPORATION.,2018,7
PV27865743500,7188.51,2019-10-11,DEPT OF GENERAL SERVICES,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,2019,10
PVRF390250380,145532.12,2018-06-20,DEPT OF FAMILY AND SUPPORT SERVICES,"ADA S. MC KINLEY COMMUNITY SERVICES, INC.",2018,6
PVCI817221743,278.4,2019-06-18,DEPT OF FAMILY AND SUPPORT SERVICES,CANON SOLUTIONS AMERICA INC,2019,6
CVIP512643732,23184.81,2019-05-18,DEPT OF FAMILY AND SUPPORT SERVICES,"TPA NETWORK, INC C/O",2019,5
PV39492289680,308615.84,2018-05-09,DEPT OF FLEET MGMT,"EASTER SEALS METROPOLITAN CHICAGO, INC.",2018,5
PVCI559422146,14878.48,2019-07-23,DEPT OF COMMUNITY DEVELOPMENT,AIDS FOUNDATION OF CHICAGO|CLEANED-UP,2019,7
PV39288904885,39726.29,2019-03-03,CHICAGO DEPARTMENT OF TRANSPORTATION,"ASIAN HUMAN SERVICES, INC.",2019,3
PVRF697061470,873.25,2019-06-22,DEPARTMENT OF WATER MANAGEMENT,"OFFICE DEPOT, INC.",2019,6
CVIP083087997,33678.64,2018-10-22,DEPARTMENT OF WATER MANAGEMENT,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,2018,10
PVRF120894443,307.41,2019-02-04,DEPARTMENT OF WATER MANAGEMENT,"OFFICE DEPOT, INC.",2019,2
PVCI751509831,4415.0,2018-11-02,DEPT OF FAMILY AND SUPPORT SERVICES,"INGRAM LIBRARY SERVICES, INC",2018,11
CVIP681426723,635589.29,2019-10-28,DEPT OF FAMILY AND SUPPORT SERVICES,VALDES LLC,2019,10
PV39845793508,376344.44,2019-11-05,DEPT OF AVIATION,"SUMIT CONSTRUCTION CO., INC.",2019,11
PVCI956691815,36093.76,2019-05-29,DEPARTMENT OF LAW,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,2019,5
CVIP870091633,19.31,2019-05-06,DEPARTMENT OF CULTURAL AFFAIRS,P V HOLDING CORP,2019,5
PV99577050448,16163.7,2019-09-06,DEPT OF FAMILY AND SUPPORT SERVICES,PUBLIC HEALTH INSTITUTE OF METROPOLITAN CHICAGO,2019,9
CVIP652101144,6174.76,2019-10-01,DEPT OF GENERAL SERVICES,"OFFICE DEPOT, INC.",2019,10
